Name,Category,Group,MatrixID,NumRows,NumCols,Nonzeros,Symmetric,SparsityRatio,Link,ImageLink,Source,Params
raefsky4,large-matrices,Simon,817,19779,19779,1316789,Yes,0.0033659490,https://sparse.tamu.edu/Simon/raefsky4,https://suitesparse-collection-website.herokuapp.com/files/Simon/raefsky4.png,SuiteSparse,
venkat01,large-matrices,Simon,820,62424,62424,1717792,No,0.0004408262,https://sparse.tamu.edu/Simon/venkat01,https://suitesparse-collection-website.herokuapp.com/files/Simon/venkat01.png,SuiteSparse,
venkat25,large-matrices,Simon,821,62424,62424,1717763,No,0.0004408187,https://sparse.tamu.edu/Simon/venkat25,https://suitesparse-collection-website.herokuapp.com/files/Simon/venkat25.png,SuiteSparse,
venkat50,large-matrices,Simon,822,62424,62424,1717777,No,0.0004408223,https://sparse.tamu.edu/Simon/venkat50,https://suitesparse-collection-website.herokuapp.com/files/Simon/venkat50.png,SuiteSparse,
av41092,large-matrices,Vavasis,827,41092,41092,1683902,No,0.0009972459,https://sparse.tamu.edu/Vavasis/av41092,https://suitesparse-collection-website.herokuapp.com/files/Vavasis/av41092.png,SuiteSparse,
qa8fk,large-matrices,Cunningham,844,66127,66127,1660579,Yes,0.0003797536,https://sparse.tamu.edu/Cunningham/qa8fk,https://suitesparse-collection-website.herokuapp.com/files/Cunningham/qa8fk.png,SuiteSparse,
qa8fm,large-matrices,Cunningham,845,66127,66127,1660579,Yes,0.0003797536,https://sparse.tamu.edu/Cunningham/qa8fm,https://suitesparse-collection-website.herokuapp.com/files/Cunningham/qa8fm.png,SuiteSparse,
bcsstk39,large-matrices,Boeing,846,46772,46772,2060662,Yes,0.0009419652,https://sparse.tamu.edu/Boeing/bcsstk39,https://suitesparse-collection-website.herokuapp.com/files/Boeing/bcsstk39.png,SuiteSparse,
pkustk03,large-matrices,Chen,849,63336,63336,3130416,Yes,0.0007803704,https://sparse.tamu.edu/Chen/pkustk03,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk03.png,SuiteSparse,
pkustk04,large-matrices,Chen,850,55590,55590,4218660,Yes,0.0013651525,https://sparse.tamu.edu/Chen/pkustk04,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk04.png,SuiteSparse,
pkustk05,large-matrices,Chen,851,37164,37164,2205144,Yes,0.0015965850,https://sparse.tamu.edu/Chen/pkustk05,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk05.png,SuiteSparse,
pkustk06,large-matrices,Chen,852,43164,43164,2571768,Yes,0.0013803475,https://sparse.tamu.edu/Chen/pkustk06,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk06.png,SuiteSparse,
pkustk07,large-matrices,Chen,853,16860,16860,2418804,Yes,0.0085091374,https://sparse.tamu.edu/Chen/pkustk07,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk07.png,SuiteSparse,
pkustk08,large-matrices,Chen,854,22209,22209,3226671,Yes,0.0065417912,https://sparse.tamu.edu/Chen/pkustk08,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk08.png,SuiteSparse,
pkustk09,large-matrices,Chen,855,33960,33960,1583640,Yes,0.0013731599,https://sparse.tamu.edu/Chen/pkustk09,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk09.png,SuiteSparse,
pkustk10,large-matrices,Chen,856,80676,80676,4308984,Yes,0.0006620430,https://sparse.tamu.edu/Chen/pkustk10,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk10.png,SuiteSparse,
pkustk11,large-matrices,Chen,857,87804,87804,5217912,Yes,0.0006768122,https://sparse.tamu.edu/Chen/pkustk11,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk11.png,SuiteSparse,
pkustk12,large-matrices,Chen,858,94653,94653,7512317,Yes,0.0008385040,https://sparse.tamu.edu/Chen/pkustk12,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk12.png,SuiteSparse,
pkustk13,large-matrices,Chen,859,94893,94893,6616827,Yes,0.0007348208,https://sparse.tamu.edu/Chen/pkustk13,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk13.png,SuiteSparse,
pkustk14,large-matrices,Chen,860,151926,151926,14836504,Yes,0.0006427874,https://sparse.tamu.edu/Chen/pkustk14,https://suitesparse-collection-website.herokuapp.com/files/Chen/pkustk14.png,SuiteSparse,
kim2,large-matrices,Kim,863,456976,456976,11330020,No,0.0000542555,https://sparse.tamu.edu/Kim/kim2,https://suitesparse-collection-website.herokuapp.com/files/Kim/kim2.png,SuiteSparse,
heart1,large-matrices,Norris,890,3557,3557,1385317,No,0.1094917591,https://sparse.tamu.edu/Norris/heart1,https://suitesparse-collection-website.herokuapp.com/files/Norris/heart1.png,SuiteSparse,
stomach,large-matrices,Norris,895,213360,213360,3021648,No,0.0000663770,https://sparse.tamu.edu/Norris/stomach,https://suitesparse-collection-website.herokuapp.com/files/Norris/stomach.png,SuiteSparse,
torso1,large-matrices,Norris,896,116158,116158,8516500,No,0.0006311941,https://sparse.tamu.edu/Norris/torso1,https://suitesparse-collection-website.herokuapp.com/files/Norris/torso1.png,SuiteSparse,
torso2,large-matrices,Norris,897,115967,115967,1033473,No,0.0000768476,https://sparse.tamu.edu/Norris/torso2,https://suitesparse-collection-website.herokuapp.com/files/Norris/torso2.png,SuiteSparse,
torso3,large-matrices,Norris,898,259156,259156,4429042,No,0.0000659458,https://sparse.tamu.edu/Norris/torso3,https://suitesparse-collection-website.herokuapp.com/files/Norris/torso3.png,SuiteSparse,
landmark,large-matrices,Pereyra,903,71952,2704,1146848,No,0.0058946267,https://sparse.tamu.edu/Pereyra/landmark,https://suitesparse-collection-website.herokuapp.com/files/Pereyra/landmark.png,SuiteSparse,
cage12,large-matrices,vanHeukelum,913,130228,130228,2032536,No,0.0001198476,https://sparse.tamu.edu/vanHeukelum/cage12,https://suitesparse-collection-website.herokuapp.com/files/vanHeukelum/cage12.png,SuiteSparse,
cage13,large-matrices,vanHeukelum,914,445315,445315,7479343,No,0.0000377163,https://sparse.tamu.edu/vanHeukelum/cage13,https://suitesparse-collection-website.herokuapp.com/files/vanHeukelum/cage13.png,SuiteSparse,
cage14,large-matrices,vanHeukelum,915,1505785,1505785,27130349,No,0.0000119655,https://sparse.tamu.edu/vanHeukelum/cage14,https://suitesparse-collection-website.herokuapp.com/files/vanHeukelum/cage14.png,SuiteSparse,
cage15,large-matrices,vanHeukelum,916,5154859,5154859,99199551,No,0.0000037332,https://sparse.tamu.edu/vanHeukelum/cage15,https://suitesparse-collection-website.herokuapp.com/files/vanHeukelum/cage15.png,SuiteSparse,
ns3Da,large-matrices,FEMLAB,925,20414,20414,1679599,No,0.0040304115,https://sparse.tamu.edu/FEMLAB/ns3Da,https://suitesparse-collection-website.herokuapp.com/files/FEMLAB/ns3Da.png,SuiteSparse,
poisson3Db,large-matrices,FEMLAB,928,85623,85623,2374949,No,0.0003239466,https://sparse.tamu.edu/FEMLAB/poisson3Db,https://suitesparse-collection-website.herokuapp.com/files/FEMLAB/poisson3Db.png,SuiteSparse,
sme3Db,large-matrices,FEMLAB,931,29067,29067,2081063,No,0.0024631157,https://sparse.tamu.edu/FEMLAB/sme3Db,https://suitesparse-collection-website.herokuapp.com/files/FEMLAB/sme3Db.png,SuiteSparse,
sme3Dc,large-matrices,FEMLAB,932,42930,42930,3148656,No,0.0017084546,https://sparse.tamu.edu/FEMLAB/sme3Dc,https://suitesparse-collection-website.herokuapp.com/files/FEMLAB/sme3Dc.png,SuiteSparse,
nd3k,large-matrices,ND,936,9000,9000,3279690,Yes,0.0404900000,https://sparse.tamu.edu/ND/nd3k,https://suitesparse-collection-website.herokuapp.com/files/ND/nd3k.png,SuiteSparse,
nd6k,large-matrices,ND,937,18000,18000,6897316,Yes,0.0212880123,https://sparse.tamu.edu/ND/nd6k,https://suitesparse-collection-website.herokuapp.com/files/ND/nd6k.png,SuiteSparse,
nd12k,large-matrices,ND,938,36000,36000,14220946,Yes,0.0109729522,https://sparse.tamu.edu/ND/nd12k,https://suitesparse-collection-website.herokuapp.com/files/ND/nd12k.png,SuiteSparse,
nd24k,large-matrices,ND,939,72000,72000,28715634,Yes,0.0055392812,https://sparse.tamu.edu/ND/nd24k,https://suitesparse-collection-website.herokuapp.com/files/ND/nd24k.png,SuiteSparse,
af_shell1,large-matrices,Schenk_AFE,940,504855,504855,17562051,Yes,0.0000689036,https://sparse.tamu.edu/Schenk_AFE/af_shell1,https://suitesparse-collection-website.herokuapp.com/files/Schenk_AFE/af_shell1.png,SuiteSparse,
af_shell2,large-matrices,Schenk_AFE,941,504855,504855,17562051,Yes,0.0000689036,https://sparse.tamu.edu/Schenk_AFE/af_shell2,https://suitesparse-collection-website.herokuapp.com/files/Schenk_AFE/af_shell2.png,SuiteSparse,
af_shell3,large-matrices,Schenk_AFE,942,504855,504855,17562051,Yes,0.0000689036,https://sparse.tamu.edu/Schenk_AFE/af_shell3,https://suitesparse-collection-website.herokuapp.com/files/Schenk_AFE/af_shell3.png,SuiteSparse,
af_shell4,large-matrices,Schenk_AFE,943,504855,504855,17562051,Yes,0.0000689036,https://sparse.tamu.edu/Schenk_AFE/af_shell4,https://suitesparse-collection-website.herokuapp.com/files/Schenk_AFE/af_shell4.png,SuiteSparse,
af_shell5,large-matrices,Schenk_AFE,944,504855,504855,17579155,Yes,0.0000689707,https://sparse.tamu.edu/Schenk_AFE/af_shell5,https://suitesparse-collection-website.herokuapp.com/files/Schenk_AFE/af_shell5.png,SuiteSparse,
af_shell6,large-matrices,Schenk_AFE,945,504855,504855,17579155,Yes,0.0000689707,https://sparse.tamu.edu/Schenk_AFE/af_shell6,https://suitesparse-collection-website.herokuapp.com/files/Schenk_AFE/af_shell6.png,SuiteSparse,
af_shell7,large-matrices,Schenk_AFE,946,504855,504855,17579155,Yes,0.0000689707,https://sparse.tamu.edu/Schenk_AFE/af_shell7,https://suitesparse-collection-website.herokuapp.com/files/Schenk_AFE/af_shell7.png,SuiteSparse,
af_shell8,large-matrices,Schenk_AFE,947,504855,504855,17579155,Yes,0.0000689707,https://sparse.tamu.edu/Schenk_AFE/af_shell8,https://suitesparse-collection-website.herokuapp.com/files/Schenk_AFE/af_shell8.png,SuiteSparse,
af_shell9,large-matrices,Schenk_AFE,948,504855,504855,17588845,Yes,0.0000690087,https://sparse.tamu.edu/Schenk_AFE/af_shell9,https://suitesparse-collection-website.herokuapp.com/files/Schenk_AFE/af_shell9.png,SuiteSparse,
c-73,large-matrices,Schenk_IBMNA,953,169422,169422,1279274,Yes,0.0000445681,https://sparse.tamu.edu/Schenk_IBMNA/c-73,https://suitesparse-collection-website.herokuapp.com/files/Schenk_IBMNA/c-73.png,SuiteSparse,
matrix_9,large-matrices,Schenk_IBMSDS,959,103430,103430,1205518,No,0.0001126888,https://sparse.tamu.edu/Schenk_IBMSDS/matrix_9,https://suitesparse-collection-website.herokuapp.com/files/Schenk_IBMSDS/matrix_9.png,SuiteSparse,
barrier2-10,large-matrices,Schenk_ISEI,961,115625,115625,2158759,No,0.0001614733,https://sparse.tamu.edu/Schenk_ISEI/barrier2-10,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/barrier2-10.png,SuiteSparse,
barrier2-11,large-matrices,Schenk_ISEI,962,115625,115625,2158759,No,0.0001614733,https://sparse.tamu.edu/Schenk_ISEI/barrier2-11,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/barrier2-11.png,SuiteSparse,
barrier2-12,large-matrices,Schenk_ISEI,963,115625,115625,2158759,No,0.0001614733,https://sparse.tamu.edu/Schenk_ISEI/barrier2-12,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/barrier2-12.png,SuiteSparse,
barrier2-1,large-matrices,Schenk_ISEI,964,113076,113076,2129496,No,0.0001665467,https://sparse.tamu.edu/Schenk_ISEI/barrier2-1,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/barrier2-1.png,SuiteSparse,
barrier2-2,large-matrices,Schenk_ISEI,965,113076,113076,2129496,No,0.0001665467,https://sparse.tamu.edu/Schenk_ISEI/barrier2-2,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/barrier2-2.png,SuiteSparse,
barrier2-3,large-matrices,Schenk_ISEI,966,113076,113076,2129496,No,0.0001665467,https://sparse.tamu.edu/Schenk_ISEI/barrier2-3,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/barrier2-3.png,SuiteSparse,
barrier2-4,large-matrices,Schenk_ISEI,967,113076,113076,2129496,No,0.0001665467,https://sparse.tamu.edu/Schenk_ISEI/barrier2-4,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/barrier2-4.png,SuiteSparse,
barrier2-9,large-matrices,Schenk_ISEI,968,115625,115625,2158759,No,0.0001614733,https://sparse.tamu.edu/Schenk_ISEI/barrier2-9,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/barrier2-9.png,SuiteSparse,
ohne2,large-matrices,Schenk_ISEI,971,181343,181343,6869939,No,0.0002089062,https://sparse.tamu.edu/Schenk_ISEI/ohne2,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/ohne2.png,SuiteSparse,
para-10,large-matrices,Schenk_ISEI,972,155924,155924,2094873,No,0.0000861652,https://sparse.tamu.edu/Schenk_ISEI/para-10,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/para-10.png,SuiteSparse,
para-4,large-matrices,Schenk_ISEI,973,153226,153226,2930882,No,0.0001248341,https://sparse.tamu.edu/Schenk_ISEI/para-4,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/para-4.png,SuiteSparse,
para-5,large-matrices,Schenk_ISEI,974,155924,155924,2094873,No,0.0000861652,https://sparse.tamu.edu/Schenk_ISEI/para-5,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/para-5.png,SuiteSparse,
para-6,large-matrices,Schenk_ISEI,975,155924,155924,2094873,No,0.0000861652,https://sparse.tamu.edu/Schenk_ISEI/para-6,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/para-6.png,SuiteSparse,
para-7,large-matrices,Schenk_ISEI,976,155924,155924,2094873,No,0.0000861652,https://sparse.tamu.edu/Schenk_ISEI/para-7,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/para-7.png,SuiteSparse,
para-8,large-matrices,Schenk_ISEI,977,155924,155924,2094873,No,0.0000861652,https://sparse.tamu.edu/Schenk_ISEI/para-8,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/para-8.png,SuiteSparse,
para-9,large-matrices,Schenk_ISEI,978,155924,155924,2094873,No,0.0000861652,https://sparse.tamu.edu/Schenk_ISEI/para-9,https://suitesparse-collection-website.herokuapp.com/files/Schenk_ISEI/para-9.png,SuiteSparse,
Stanford,large-matrices,Kamvar,979,281903,281903,2312497,No,0.0000290992,https://sparse.tamu.edu/Kamvar/Stanford,https://suitesparse-collection-website.herokuapp.com/files/Kamvar/Stanford.png,SuiteSparse,
Stanford_Berkeley,large-matrices,Kamvar,980,683446,683446,7583376,No,0.0000162351,https://sparse.tamu.edu/Kamvar/Stanford_Berkeley,https://suitesparse-collection-website.herokuapp.com/files/Kamvar/Stanford_Berkeley.png,SuiteSparse,
language,large-matrices,Tromble,982,399130,399130,1216334,No,0.0000076353,https://sparse.tamu.edu/Tromble/language,https://suitesparse-collection-website.herokuapp.com/files/Tromble/language.png,SuiteSparse,
Hamrle3,large-matrices,Hamrle,1201,1447360,1447360,5514242,No,0.0000026323,https://sparse.tamu.edu/Hamrle/Hamrle3,https://suitesparse-collection-website.herokuapp.com/files/Hamrle/Hamrle3.png,SuiteSparse,
gyro_k,large-matrices,Oberwolfach,1202,17361,17361,1021159,Yes,0.0033880039,https://sparse.tamu.edu/Oberwolfach/gyro_k,https://suitesparse-collection-website.herokuapp.com/files/Oberwolfach/gyro_k.png,SuiteSparse,
t3dh_a,large-matrices,Oberwolfach,1208,79171,79171,4352105,Yes,0.0006943319,https://sparse.tamu.edu/Oberwolfach/t3dh_a,https://suitesparse-collection-website.herokuapp.com/files/Oberwolfach/t3dh_a.png,SuiteSparse,
t3dh_e,large-matrices,Oberwolfach,1209,79171,79171,4352105,Yes,0.0006943319,https://sparse.tamu.edu/Oberwolfach/t3dh_e,https://suitesparse-collection-website.herokuapp.com/files/Oberwolfach/t3dh_e.png,SuiteSparse,
Lin,large-matrices,Lin,1213,256000,256000,1766400,Yes,0.0000269531,https://sparse.tamu.edu/Lin/Lin,https://suitesparse-collection-website.herokuapp.com/files/Lin/Lin.png,SuiteSparse,
bmw3_2,large-matrices,GHS_indef,1219,227362,227362,11288630,Yes,0.0002183763,https://sparse.tamu.edu/GHS_indef/bmw3_2,https://suitesparse-collection-website.herokuapp.com/files/GHS_indef/bmw3_2.png,SuiteSparse,
d_pretok,large-matrices,GHS_indef,1231,182730,182730,1641672,Yes,0.0000491662,https://sparse.tamu.edu/GHS_indef/d_pretok,https://suitesparse-collection-website.herokuapp.com/files/GHS_indef/d_pretok.png,SuiteSparse,
darcy003,large-matrices,GHS_indef,1232,389874,389874,2097566,Yes,0.0000137996,https://sparse.tamu.edu/GHS_indef/darcy003,https://suitesparse-collection-website.herokuapp.com/files/GHS_indef/darcy003.png,SuiteSparse,
dawson5,large-matrices,GHS_indef,1233,51537,51537,1010777,Yes,0.0003805547,https://sparse.tamu.edu/GHS_indef/dawson5,https://suitesparse-collection-website.herokuapp.com/files/GHS_indef/dawson5.png,SuiteSparse,
exdata_1,large-matrices,GHS_indef,1235,6001,6001,2269500,Yes,0.0630206580,https://sparse.tamu.edu/GHS_indef/exdata_1,https://suitesparse-collection-website.herokuapp.com/files/GHS_indef/exdata_1.png,SuiteSparse,
helm2d03,large-matrices,GHS_indef,1236,392257,392257,2741935,Yes,0.0000178203,https://sparse.tamu.edu/GHS_indef/helm2d03,https://suitesparse-collection-website.herokuapp.com/files/GHS_indef/helm2d03.png,SuiteSparse,
